,LakeID,LATmean,NOPmean,SMBmean,WAEmean,LATsm,NOPsm,SMBsm,WAEsm,NOPratio,LATratio,SMBratio,WAEratio,BFI_NOP,BFI_LAT,BFI_SMB,BFI_WAE,BFI_NOP_Pct,BFI_LAT_Pct,BFI_SMB_Pct,BFI_WAE_Pct
0,38015300,16.2442371,20.39890911,9.018023491,13.54145191,,26.25,15.428571428571429,18.0,1.2868335193047977,,1.7108595296928608,1.3292518497745047,47.7941293929524,,75.93984550194602,61.971817555129235,0.917989417989418,,0.9260089686098655,0.7659574468085106
0,38005400,16.2442371,20.39890911,9.018023491,13.54145191,,20.375,,,0.9988279221270572,,,,30.514719738645436,,,,0.4858906525573192,,,
0,38022700,16.2442371,20.39890911,9.018023491,13.54145191,24.27777777777778,,6.25,,,1.4945471202078047,0.6930565224450246,,,78.53532567893903,27.631578763649227,,,0.935064935064935,0.08968609865470852,
0,38069100,16.2442371,20.39890911,9.018023491,13.54145191,,18.142857142857142,,12.823529411764707,0.889403303138554,,,0.9469833439570002,23.94959449004857,,,40.09940630976359,0.20811287477954143,,,0.2222222222222222
0,38063700,16.2442371,20.39890911,9.018023491,13.54145191,,23.35483870967742,,11.019607843137255,1.14490625865029,,,0.8137685616266576,39.27895016728844,,,32.477202390924035,0.8077601410934744,,,0.061465721040189124
0,38064500,16.2442371,20.39890911,9.018023491,13.54145191,,20.985294117647058,13.552631578947368,13.345070422535212,1.0287459003069725,,1.5028383539334218,0.9854977524736646,32.30970221837945,,66.0664786772849,42.303100752618526,0.5696649029982364,,0.6591928251121076,0.2765957446808511
0,38040500,16.2442371,20.39890911,9.018023491,13.54145191,,,8.991525423728813,,,,0.9970616546632828,,,,42.060658764819586,,,,0.21076233183856502,
0,38047300,16.2442371,20.39890911,9.018023491,13.54145191,,19.75,,,0.9681890288102764,,,,28.67648466903832,,,,0.37389770723104054,,,
0,38053200,16.2442371,20.39890911,9.018023491,13.54145191,,25.666666666666668,10.76923076923077,15.555555555555555,1.2582372188758022,,1.1941897002129656,1.1487361664717943,46.07844332798575,,51.41700192572593,51.64317891148434,0.8950617283950617,,0.3901345291479821,0.5295508274231678
0,38044300,16.2442371,20.39890911,9.018023491,13.54145191,,23.933333333333334,,11.221052631578948,1.1732653547439298,,,0.828644720385744,40.98040473494199,,,33.32837756538484,0.8412698412698413,,,0.08037825059101655
0,38031500,16.2442371,20.39890911,9.018023491,13.54145191,,26.666666666666668,,11.75,1.3072594481826516,,,0.8677060686028017,49.01961943935715,,,35.563366477628094,0.9285714285714286,,,0.11229314420803782
0,38050300,16.2442371,20.39890911,9.018023491,13.54145191,,27.666666666666668,12.736842105263158,18.11111111111111,1.356281677489501,,1.412376239424808,1.3374571081064461,51.96079555072855,,61.77285021846435,62.441301129840376,0.955026455026455,,0.5560538116591929,0.7706855791962175
0,38078000,16.2442371,20.39890911,9.018023491,13.54145191,,19.848484848484848,,15.958333333333334,0.9730169756359509,,,1.178480227925082,28.966145952733985,,,53.345056869812204,0.3915343915343915,,,0.5721040189125296
0,38070200,16.2442371,20.39890911,9.018023491,13.54145191,,22.4,,,1.0980979364734273,,,,36.47060136417252,,,,0.7045855379188712,,,
0,38029300,16.2442371,20.39890911,9.018023491,13.54145191,,16.5,,,0.8088667835630157,,,,19.11766230708128,,,,0.08289241622574955,,,
0,38026000,16.2442371,20.39890911,9.018023491,13.54145191,,20.536585365853657,,,1.0067491969845663,,,,30.989970756641426,,,,0.5079365079365079,,,
0,38047700,16.2442371,20.39890911,9.018023491,13.54145191,,21.166666666666668,8.0,13.5,1.0376371869949799,,0.8871123487296315,0.9969388873308785,32.84315082681448,,36.8421043285385,42.95773277932841,0.5873015873015873,,0.14798206278026907,0.29550827423167847
0,38067900,16.2442371,20.39890911,9.018023491,13.54145191,,11.576923076923077,,3.3333333333333335,0.56752657774468,,,0.24615774995824163,4.638026066483635,,,-1.4306740115920703e-05,0.003527336860670194,,,0.002364066193853428
0,38081000,16.2442371,20.39890911,9.018023491,13.54145191,,19.323529411764707,16.8,13.428571428571429,0.9472824898411788,,1.862935932332226,0.991664078403202,27.422159562718164,,83.15789002626741,42.65592190987126,0.3262786596119929,,0.9955156950672646,0.28368794326241137
0,38016600,16.2442371,20.39890911,9.018023491,13.54145191,14.333333333333334,,16.5,19.77777777777778,,0.8823642036924796,1.829669219254865,1.460535983085567,,33.333323760988264,81.5789427865721,69.48355475050734,,0.2597402597402597,0.9865470852017937,0.8699763593380615
0,38066900,16.2442371,20.39890911,9.018023491,13.54145191,,20.515151515151516,,,1.0056984618405171,,,,30.926930026981587,,,,0.5026455026455027,,,
0,38075000,16.2442371,20.39890911,9.018023491,13.54145191,,17.74074074074074,,16.09090909090909,0.8696906606659585,,,1.188270592980239,22.766899334153194,,,53.905236135092515,0.18342151675485008,,,0.5910165484633569
0,38072200,16.2442371,20.39890911,9.018023491,13.54145191,,22.375,14.0,14.113636363636363,1.096872380740756,,1.552446610276855,1.042254291300464,36.397071961388235,,68.42104912244457,45.55056252148307,0.7001763668430335,,0.7443946188340808,0.3617021276595745
0,38053900,16.2442371,20.39890911,9.018023491,13.54145191,,17.457142857142856,,18.933333333333334,0.8557880601852857,,,1.3981760197628124,21.93278801367961,,,65.91547958270273,0.15696649029982362,,,0.817966903073286
0,38006400,16.2442371,20.39890911,9.018023491,13.54145191,,19.88888888888889,,13.64,0.974997671769561,,,1.0072775128291247,29.084981351173234,,,43.54928208346443,0.4056437389770723,,,0.3073286052009456
