X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-90.270542,48.04876,623.00903,,,,CAMP-1844,CAMP-1844,CAMP- Alder Lake - 1844 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1844&elat=48.04876&elon=-90.270542,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.258366,48.04757,623.00903,,,,CAMP-1845,CAMP-1845,CAMP- Pierz Lake - 1845 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1845&elat=48.04757&elon=-90.258366,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.253833,48.04701,623.00903,,,,CAMP-1846,CAMP-1846,CAMP- Pierz Lake - 1846 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1846&elat=48.04701&elon=-90.253833,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.259357,48.05493,623.00903,,,,CAMP-1847,CAMP-1847,CAMP- Canoe Lake - 1847 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1847&elat=48.05493&elon=-90.259357,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.271115,48.05316,623.00903,,,,CAMP-1848,CAMP-1848,CAMP- Canoe Lake - 1848 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1848&elat=48.05316&elon=-90.271115,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.275837,48.05219,623.00903,,,,CAMP-1849,CAMP-1849,CAMP- Canoe Lake - 1849 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1849&elat=48.05219&elon=-90.275837,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.334495,48.05983,623.00903,,,,CAMP-1850,CAMP-1850,CAMP- Moon Lake - 1850 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1850&elat=48.05983&elon=-90.334495,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.336881,48.05964,623.00903,,,,CAMP-1851,CAMP-1851,CAMP- Moon Lake - 1851 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1851&elat=48.05964&elon=-90.336881,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.3403,48.05815,623.00903,,,,CAMP-1852,CAMP-1852,CAMP- Moon Lake - 1852 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1852&elat=48.05815&elon=-90.3403,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.340837,48.06467,623.00903,,,,CAMP-1853,CAMP-1853,CAMP- Deer Lake - 1853 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1853&elat=48.06467&elon=-90.340837,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.342488,48.06936,623.00903,,,,CAMP-1854,CAMP-1854,CAMP- Caribou Lake - 1854 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1854&elat=48.06936&elon=-90.342488,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.33783,48.0709,623.00903,,,,CAMP-1855,CAMP-1855,CAMP- Caribou Lake - 1855 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1855&elat=48.0709&elon=-90.33783,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.333485,48.07159,623.00903,,,,CAMP-1856,CAMP-1856,CAMP- Caribou Lake - 1856 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1856&elat=48.07159&elon=-90.333485,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.324568,48.0693,623.00903,,,,CAMP-1857,CAMP-1857,CAMP- Caribou Lake - 1857 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1857&elat=48.0693&elon=-90.324568,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.2898,48.074112,623.00903,,,,CAMP-1858,CAMP-1858,CAMP- Caribou Lake - 1858 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1858&elat=48.0741119067&elon=-90.2898002397,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.277915,48.0708,623.00903,,,,CAMP-1859,CAMP-1859,CAMP- Caribou Lake - 1859 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1859&elat=48.0708&elon=-90.277915,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.25371,48.06419,623.00903,,,,CAMP-1860,CAMP-1860,CAMP- Pine Lake - 1860 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=1860&elat=48.06419&elon=-90.25371,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.263239,48.08525,623.00903,,,,CAMP-1861,CAMP-1861,CAMP- Clearwater Lake - 1861 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1861&elat=48.08525&elon=-90.263239,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.269726,48.0893,623.00903,,,,CAMP-1862,CAMP-1862,CAMP- Clearwater Lake - 1862 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1862&elat=48.0893&elon=-90.269726,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.292808,48.09119,623.00903,,,,CAMP-1863,CAMP-1863,CAMP- Clearwater Lake - 1863 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1863&elat=48.09119&elon=-90.292808,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.321892,48.0893,623.00903,,,,CAMP-1864,CAMP-1864,CAMP- Clearwater Lake - 1864 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1864&elat=48.0893&elon=-90.321892,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.326202,48.09034,623.00903,,,,CAMP-1865,CAMP-1865,CAMP- Clearwater Lake - 1865 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1865&elat=48.09034&elon=-90.326202,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.330841,48.08999,623.00903,,,,CAMP-1866,CAMP-1866,CAMP- Clearwater Lake - 1866 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1866&elat=48.08999&elon=-90.330841,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-90.345242,48.08601,623.00903,,,,CAMP-1867,CAMP-1867,CAMP- Clearwater Lake - 1867 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1867&elat=48.08601&elon=-90.345242,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.130515,47.787,623.00903,,,,CAMP-1868,CAMP-1868,CAMP- Perent Lake - 1868 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1868&elat=47.787&elon=-91.130515,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.127311,47.78958,623.00903,,,,CAMP-1869,CAMP-1869,CAMP- Perent Lake - 1869 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1869&elat=47.78958&elon=-91.127311,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.140514,47.78518,623.00903,,,,CAMP-1870,CAMP-1870,CAMP- Perent Lake - 1870 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1870&elat=47.78518&elon=-91.140514,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.143253,47.78998,623.00903,,,,CAMP-1871,CAMP-1871,CAMP- Perent Lake - 1871 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1871&elat=47.78998&elon=-91.143253,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.125696,47.79588,623.00903,,,,CAMP-1872,CAMP-1872,CAMP- Perent Lake - 1872 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1872&elat=47.79588&elon=-91.125696,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.131855,47.80103,623.00903,,,,CAMP-1873,CAMP-1873,CAMP- Perent Lake - 1873 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=1873&elat=47.80103&elon=-91.131855,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.133487,47.80057,623.00903,,,,CAMP-1874,CAMP-1874,CAMP- Perent Lake - 1874 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1874&elat=47.80057&elon=-91.133487,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.131347,47.80328,623.00903,,,,CAMP-1875,CAMP-1875,CAMP- Perent Lake - 1875 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1875&elat=47.80328&elon=-91.131347,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.127267,47.80271,623.00903,,,,CAMP-1876,CAMP-1876,CAMP- Perent Lake - 1876 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=1876&elat=47.80271&elon=-91.127267,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.129285,47.80639,623.00903,,,,CAMP-1877,CAMP-1877,CAMP- Perent Lake - 1877 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1877&elat=47.80639&elon=-91.129285,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.148402,47.80253,623.00903,,,,CAMP-1878,CAMP-1878,CAMP- Perent Lake - 1878 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1878&elat=47.80253&elon=-91.148402,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.157673,47.80287,623.00903,,,,CAMP-1879,CAMP-1879,CAMP- Perent Lake - 1879 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1879&elat=47.80287&elon=-91.157673,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.171261,47.80234,623.00903,,,,CAMP-1880,CAMP-1880,CAMP- Perent Lake - 1880 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1880&elat=47.80234&elon=-91.171261,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.213103,47.79926,623.00903,,,,CAMP-1881,CAMP-1881,CAMP- Perent River - 1881 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=1881&elat=47.79926&elon=-91.213103,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
