X,Y,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type
-90.9241435298648,48.1700450616455,Portage 27,,Portage 27 - Rods: 119 Feet: 2144,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=27&elat=48.1731421483&elon=-90.9235031059,Portage Link,,,,,,
-91.0617539283085,48.1694007983322,Portage 28,,Portage 28 - Rods: 39 Feet: 829,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=28&elat=48.1698711789&elon=-91.0599030995,Portage Link,,,,,,
-91.9799903765485,48.1778426247743,Portage 29,,Portage 29 - Rods: 7 Feet: 137,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=29&elat=48.1776291552&elon=-91.9802754779,Portage Link,,,,,,
-91.9884665650487,48.1778185336959,Portage 30,,Portage 30 - Rods: 17 Feet: 602,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=30&elat=48.1772091658&elon=-91.9897708283,Portage Link,,,,,,
-90.7938552755845,48.159527908749,Portage 31,,Portage 31 - Rods: 17 Feet: 389,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=31&elat=48.1596134749&elon=-90.7945382495,Portage Link,,,,,,
-91.9445704041424,48.1749361193612,Portage 32,,Portage 32 - Rods: 8 Feet: 115,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=32&elat=48.1749337866&elon=-91.9448062723,Portage Link,,,,,,
-91.9393721449289,48.1753696152146,Portage 33,,Portage 33 - Rods: 116 Feet: 2262,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=33&elat=48.174837976&elon=-91.9412360519,Portage Link,,,,,,
-90.9204232622324,48.159783535684,Portage 34,,Portage 34 - Rods: 155 Feet: 3055,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=34&elat=48.1628019912&elon=-90.9246401738,Portage Link,,,,,,
-91.7955411238548,48.1530812558367,Portage 35,,Portage 35 - Rods: 6 Feet: 59,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=35&elat=48.1531515919&elon=-91.7955991432,Portage Link,,,,,,
-91.0888909148041,48.1335729482942,Portage 36,,Portage 36 - Rods: 11 Feet: 111,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=36&elat=48.1337030878&elon=-91.0890066344,Portage Link,,,,,,
-91.860992322193,48.1424233934223,Portage 37,,Portage 37 - Rods: 10 Feet: 103,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=37&elat=48.1423939583&elon=-91.861199659,Portage Link,,,,,,
-90.9716642207194,48.130510305235,Portage 38,,Portage 38 - Rods: 23 Feet: 515,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=38&elat=48.1311660347&elon=-90.9719769338,Portage Link,,,,,,
-90.1383452172903,48.1119568171148,Portage 39,,Portage 39 - Rods: 39 Feet: 720,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=39&elat=48.1120629049&elon=-90.1387076794,Portage Link,,,,,,
-91.1174050018864,48.1317830835092,Portage 40,,Portage 40 - Rods: 12 Feet: 110,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=40&elat=48.131786784&elon=-91.117630838,Portage Link,,,,,,
-92.2074388278727,48.1449433231841,Portage 41,,Portage 41 - Rods: 94 Feet: 1956,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=41&elat=48.1476174423&elon=-92.209034481,Portage Link,,,,,,
-90.5901402391562,48.1192307352782,Portage 42,,Portage 42 - Rods: 8 Feet: 199,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=42&elat=48.1191243956&elon=-90.5903253673,Portage Link,,,,,,
-90.1742149083033,48.1069830930061,Portage 43,,Portage 43 - Rods: 69 Feet: 1442,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=43&elat=48.1090303574&elon=-90.173581528,Portage Link,,,,,,
-92.0903177027209,48.1352746568054,Portage 44,,Portage 44 - Rods: 27 Feet: 436,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=44&elat=48.134815557&elon=-92.0905795149,Portage Link,,,,,,
-91.0466256243818,48.1193320572848,Portage 45,,Portage 45 - Rods: 99 Feet: 1917,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=45&elat=48.1191069012&elon=-91.0439685052,Portage Link,,,,,,
-92.0944162711783,48.1308376455493,Portage 46,,Portage 46 - Rods: 24 Feet: 405,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=46&elat=48.1311632565&elon=-92.0952051808,Portage Link,,,,,,
-91.0687401950796,48.1162891407936,Portage 47,,Portage 47 - Rods: 43 Feet: 907,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=47&elat=48.117048404&elon=-91.0677434618,Portage Link,,,,,,
-91.1089606597533,48.1124256976832,Portage 48,,Portage 48 - Rods: 15 Feet: 279,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=48&elat=48.1128163914&elon=-91.1094648543,Portage Link,,,,,,
-90.5660445278965,48.1003084739221,Portage 49,,Portage 49 - Rods: 75 Feet: 1312,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=49&elat=48.0987200026&elon=-90.5644362929,Portage Link,,,,,,
-92.3234666117903,48.1225435919479,Portage 50,,Portage 50 - Rods: 39 Feet: 886,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=50&elat=48.1224395207&elon=-92.3247457731,Portage Link,,,,,,
-91.1066794897322,48.1064969844282,Portage 51,,Portage 51 - Rods: 13 Feet: 226,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=51&elat=48.1068489239&elon=-91.1063328029,Portage Link,,,,,,
-90.5713550647818,48.0887843964431,Portage 52,,Portage 52 - Rods: 69 Feet: 1326,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=52&elat=48.090801915&elon=-90.5712377672,Portage Link,,,,,,
-91.0511632575073,48.0953901099583,Portage 53,,Portage 53 - Rods: 13 Feet: 365,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=53&elat=48.0955833567&elon=-91.051682658,Portage Link,,,,,,
-91.0539061299667,48.0942556614272,Portage 54,,Portage 54 - Rods: 9 Feet: 188,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=54&elat=48.0943342356&elon=-91.0541625489,Portage Link,,,,,,
-91.0832990428954,48.0924578244567,Portage 55,,Portage 55 - Rods: 17 Feet: 374,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=55&elat=48.0930392044&elon=-91.0833676089,Portage Link,,,,,,
-92.2162319333714,48.1043255670762,Portage 56,,Portage 56 - Rods: 13 Feet: 236,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=56&elat=48.10441738&elon=-92.2161721885,Portage Link,,,,,,
-90.2799161030111,48.0769465564588,Portage 57,,Portage 57 - Rods: 118 Feet: 2362,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=57&elat=48.0794421607&elon=-90.2779595274,Portage Link,,,,,,
-90.6453257731754,48.0816507699819,Portage 58,,Portage 58 - Rods: 19 Feet: 586,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=58&elat=48.0815178611&elon=-90.644984657,Portage Link,,,,,,
-90.5655638329855,48.0808896100179,Portage 59,,Portage 59 - Rods: 165 Feet: 3073,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=59&elat=48.0780538995&elon=-90.5681448766,Portage Link,,,,,,
-90.488877956418,48.0766516382816,Portage 60,,Portage 60 - Rods: 135 Feet: 2740,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=60&elat=48.0785210503&elon=-90.496299139,Portage Link,,,,,,
-90.1694165705732,48.0733555571429,Portage 61,,Portage 61 - Rods: 267 Feet: 5264,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=61&elat=48.0806180294&elon=-90.1669901921,Portage Link,,,,,,
-92.3634017951047,48.1023559972361,Portage 62,,Portage 62 - Rods: 245 Feet: 4861,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=62&elat=48.0992922151&elon=-92.3752349984,Portage Link,,,,,,
-90.4367962386007,48.0720745985135,Portage 63,,Portage 63 - Rods: 49 Feet: 934,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=63&elat=48.0728627082&elon=-90.4352038255,Portage Link,,,,,,
-91.0931430082278,48.083030099805,Portage 64,,Portage 64 - Rods: 11 Feet: 263,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=64&elat=48.0832833219&elon=-91.0924063931,Portage Link,,,,,,
-91.1137376205874,48.0836851261919,Portage 65,,Portage 65 - Rods: 20 Feet: 354,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=65&elat=48.0838759927&elon=-91.1135842367,Portage Link,,,,,,
-90.8989404199924,48.0785488002779,Portage 66,,Portage 66 - Rods: 78 Feet: 1437,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=66&elat=48.0796242087&elon=-90.9021501923,Portage Link,,,,,,
-90.1897555473264,48.0614578362455,Portage 67,,Portage 67 - Rods: 47 Feet: 843,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=67&elat=48.0622279001&elon=-90.1892320173,Portage Link,,,,,,
-90.1642143223433,48.0598782779656,Portage 68,,Portage 68 - Rods: 102 Feet: 1980,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=68&elat=48.0620701534&elon=-90.1652486794,Portage Link,,,,,,
-90.3300191978392,48.0618966580451,Portage 69,,Portage 69 - Rods: 20 Feet: 210,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=69&elat=48.0614903428&elon=-90.3300557447,Portage Link,,,,,,
